token,category,last_modified_at,city,title,price,size,year,has_parking,has_elevator,rooms,floor
gaeB2rpl,apartment-sell,2026-07-20 19:33:04,tehran,۵۰ متر / تکخواب / فول امکانات / تکواحدی / جیحون,9100000000,50,1402,1,1,یک,2
gaeBBbOv,apartment-sell,2026-07-20 15:27:00,tehran,54 متر آپارتمان / خوش امام خمینی / 0تا100 نوسازی,6600000000,54,1385,0,0,یک,2
gaedDlPt,apartment-sell,2026-07-20 14:59:19,tehran,۹۵متر/ تک واحدی/۲خواب/طوس,16000000000,95,1392,0,1,دو,2
gaedDzDd,apartment-sell,2026-07-20 16:15:29,tehran,جواهر نایاب منطقه (58متر * 2 خواب) تک واحدی,6500000000,58,1386,0,0,دو,2
gaedGKeW,apartment-sell,2026-07-20 18:22:21,tehran,98م/سپه/امام خمینی/12ساله/زیر قیمت منطقه,13700000000,98,1390,1,1,دو,3
gaedTBPb,apartment-sell,2026-07-20 14:57:24,tehran,۶۵ متر دو خواب پارکینگ‌دار کارون طوس,12000000000,65,1395,1,0,دو,2
gaedU1bS,apartment-sell,2026-07-20 16:10:53,tehran,سرمایه گذاری ملک/تضمین اصل سرمایه و سود قطعی,4550000000,46,1399,1,1,یک,3
gaedwKe9,apartment-sell,2026-07-20 16:23:34,tehran,سلسبیل۴۰ متر/تکواحدی/سالن پرده خور/فول بازسازی,5200000000,40,1382,0,0,یک,0
gaedz0ZK,apartment-sell,2026-07-20 16:19:09,tehran,۵۵ متردو خواب فول امکانات بالای سپه‌ زیر قیمت فوری,9000000000,55,1395,1,1,دو,2
gaeF0yI0,apartment-sell,2026-07-20 15:42:36,tehran,۱۰۶متر/ بوستان/ بینهایت ارزنده/   دو پارکینگ باکس/,10200000000,115,1370,1,0,دو,4
gaeFz8A3,apartment-sell,2026-07-20 15:05:38,tehran,۱۰۰متر/ FULL/ دامپزشکی/ موقعیت بینظیر/داکت اسپیلت,18000000000,100,1405,1,1,دو,1
gaeh1-dw,apartment-sell,2026-07-20 17:22:18,tehran,آپارتمان قصرالدشت۵۱متری تکواحدی با حیاط فول دیزاین,6450000000,51,1380,0,0,یک,-1
gaeh2UbO,apartment-sell,2026-07-20 18:27:15,tehran,۴۲ متر / تکواحدی /نوساز /فول امکانات,6750000000,42,1403,1,1,یک,4
gaehEjE5,apartment-sell,2026-07-20 16:11:26,tehran,74متر/نوساز/هاشمی/به قیمت رسیده ترین منطقه,12700000000,74,1399,0,1,دو,3
gaehTaz2,apartment-sell,2026-07-20 15:02:28,tehran,55 متر 1 خواب 10 ساله جیحون,8600000000,55,1393,0,1,یک,4
gaehTyOb,apartment-sell,2026-07-20 15:04:24,tehran,۷۱متر/دوخواب/پارکینگ‌دار/جیحون,9400000000,71,1390,1,0,دو,2
gaeJEpij,apartment-sell,2026-07-20 15:46:13,tehran,77متر * تک واحدی * فول بازسازی * رودکی,10000000000,77,1385,0,0,دو,4
gaeJEVab,apartment-sell,2026-07-20 15:45:48,tehran,دامپزشکی  متر  فول امکانات. فول بازسازی .فروش فوری,15050000000,79,1394,1,1,دو,3
gaeJXUde,apartment-sell,2026-07-20 19:09:32,tehran,آپارتمان ۱۰۷متری/فول امکانات/ بدون پرتی/طوس,20500000000,107,1399,1,1,دو,1
gaeliVFr,apartment-sell,2026-07-20 16:19:04,tehran,سلسبیل ۳۶متر همکف غرق نور خوش نقشه بدون مشابه,5000000000,36,1380,1,0,یک,0
gaelknoO,apartment-sell,2026-07-20 16:16:24,tehran,۴۴متر/خریدوفروش بنام خودتان درکم ترین زمان باسود/,4700000000,44,1399,1,1,یک,2
gaeNEMhD,apartment-sell,2026-07-20 15:48:25,tehran,52 متر / تک واحدی / پارکینگ دار / بالای امام,7100000000,52,1384,1,0,یک,3
gaeRE4Ik,apartment-sell,2026-07-20 16:18:32,tehran,خوش مرتضوی ۴۴متر یکخواب طبقه اول سرمایه گذاری,4350000000,44,1380,0,0,یک,1
gaeREGJd,apartment-sell,2026-07-20 15:52:29,tehran,آپارتمان 85 متری خوش نقشه خوش قیمت / مرتضوی,14300000000,85,1401,1,1,دو,1
gaeRFV8F,apartment-sell,2026-07-20 17:01:36,tehran,65متر/تک واحدی /فول بازسازی/دوخواب,9500000000,65,1392,0,0,دو,3
gaeRlxuO,apartment-sell,2026-07-20 17:06:05,tehran,50 متر تک واحدی فول امکانات,11000000000,50,1395,1,1,یک,2
gaeRTIFY,apartment-sell,2026-07-20 15:08:46,tehran,۳۹متری ۱خوابه نقلی خوش نقشه (آسانسوردار) زیرقیمت,6200000000,39,1397,0,1,یک,1
gaeRUnza,apartment-sell,2026-07-20 15:54:46,tehran,55متر/1خواب/پارکینگ دار/بوستان/ملک دو بر,9100000000,55,1381,1,0,یک,2
gaeRWvNE,apartment-sell,2026-07-20 18:13:01,tehran,63متر/دوخواب/تک واحدی/بازسازی شده/دو خواب,8820000000,63,1385,0,0,دو,3
gaet0Gko,apartment-sell,2026-07-20 16:22:22,tehran,۴۷متر پارکینگ دار نقلی/مناسب سکونت و سرمایه گذاری,7000000000,47,1386,1,0,یک,2
gaetjQcz,apartment-sell,2026-07-20 15:28:13,tehran,۵۳ متر/ کلید نخورده,9300000000,53,1405,0,1,یک,4
gaetTteg,apartment-sell,2026-07-20 15:16:35,tehran,۴۷ متر / فول امکانات / قصرالدشت,9000000000,47,1396,1,1,یک,2
gaetTUng,apartment-sell,2026-07-20 15:15:19,tehran,40متری*فول امکانات*جیحون* تک واحدی,7250000000,40,1402,1,1,یک,4
gaeVF1Ek,apartment-sell,2026-07-20 17:08:18,tehran,دریافت سود۶۰۰میلیونی در خرید و فروش در منطقه ۱۰,4850000000,48,1400,1,1,یک,3
gaeVFvF3,apartment-sell,2026-07-20 17:07:42,tehran,۷۵متر/ ۲خواب/ فول امکانات/ ۱۰ ساله/ منطقه ۱۰,12700000000,75,1395,1,1,دو,3
gaeVHHd-,apartment-sell,2026-07-20 19:41:26,tehran,۵۲ متر با پارکینگ/تکواحدی /سال ۹۰ /کارون بالای سپه,9100000000,52,1390,1,0,یک,1
gaeVjUGW,apartment-sell,2026-07-20 14:59:56,tehran,فروش ۵۳متری نوساز غرق نور دامپزشکی,10000000000,50,1405,1,1,یک,4
gaeVUQOq,apartment-sell,2026-07-20 15:57:24,tehran,۶۵متر/دو خواب/فول امکانات/گذر هشت متری,10300000000,65,1396,1,1,دو,2
gaeVxhT6,apartment-sell,2026-07-20 14:55:42,tehran,48 متر / تک واحدی / طبقه اول/ مالک 100 فروشنده,7000000000,48,1396,0,1,یک,1
gaex0UTE,apartment-sell,2026-07-20 17:34:22,tehran,۶۲ متر/تک‌ خواب/ خوش نقشه/تاپ لوکیشن,8700000000,62,1398,0,1,یک,1
gaexDOqq,apartment-sell,2026-07-20 15:18:57,tehran,واحد/۷۰متر/دوخواب/اکواریوم/زیرقیمت,8200000000,70,1375,0,0,دو,1
gaexjElc,apartment-sell,2026-07-20 15:18:33,tehran,۴۱ متر  /تاپ لوکیشن/  آسانسور دار / زیر قیمت,7000000000,41,1393,0,1,یک,3
gaexzgjE,apartment-sell,2026-07-20 15:20:37,tehran,۵۰ متر/پارکینگ باکس /انباری/ خوش نقشه,7500000000,50,1386,1,0,یک,2
gaexzr9H,apartment-sell,2026-07-20 15:20:49,tehran,53 متر تک خواب فول امکانات * قصرالدشت/ هاشمی,10300000000,53,1398,1,1,یک,5
gaexzw37,apartment-sell,2026-07-20 15:21:23,tehran,۵۵ متر رودکی تک واحدی / خوش نقشه,7800000000,55,1390,1,0,یک,2
gaG9SbQg,apartment-sell,2026-07-20 15:27:53,tehran,۱۰۳ متر     دوخواب     فول امکانات     ۳ نبش,12800000000,103,1403,1,1,دو,1
gaGxjszV,apartment-sell,2026-07-20 15:25:00,tehran,طوس قصرالدشت ۵۰ متر ۱خواب طبقه همکف,7850000000,50,1380,0,0,یک,0
gaKYPAB5,apartment-sell,2026-07-20 16:03:07,tehran,۵۹مترسلسبیل/تضمینی / ماهانه / ثابت ۵۰۰ میلیون,4600000000,59,1400,1,1,یک,2
gaL5V1iY,apartment-sell,2026-07-20 15:02:02,tehran,آپارتمان ۱۰۰ متری لوکس و نوساز,18500000000,100,1401,1,1,دو,5
gaN9P8Qr,apartment-sell,2026-07-20 16:47:01,tehran,فروش ۷۵ متر آپارتمان/ سرمایه‌گذاری بالاتر از کلهر,10000000000,75,1382,0,0,دو,3
gaOVVrW5,apartment-sell,2026-07-20 16:28:49,tehran,خریدوفروش زیر۳۰روز باسود۶۵۰الی۷۰۰میلیون تومانی,4450000000,43,1400,1,1,یک,4
gaPZo4P6,apartment-sell,2026-07-20 14:56:37,tehran,خوش کمیل/ قیمت بی رقیب در تهران/ سالن پرده خور,4100000000,42,1381,0,0,یک,1
gaRNEHzr,apartment-sell,2026-07-20 19:07:17,tehran,۱۲۰ متری/ ۳ خواب لوکس سلسبیل جنوبی,23700000000,120,1405,1,1,سه,5
gaS5m-_1,apartment-sell,2026-07-20 15:37:39,tehran,فروش آپارتمان ۷۴ متری/جیحون بهنود /پارکینگدار,13000000000,74,1386,1,0,دو,1
gaT0gb5C,apartment-sell,2026-07-20 15:22:24,tehran,کسب درآمد ماهانه با سرمایه‌گذاری کوتاه‌مدت درملک,4400000000,48,1395,1,1,یک,2
gaTBumkY,apartment-sell,2026-07-20 16:44:33,tehran,خریدوفروش بنام خودتان کمترین ز‌مان باسود۶۰۰میلیونی,4380000000,48,1397,1,1,یک,3
gaU14Qi-,apartment-sell,2026-07-20 19:30:00,tehran,آپارتمان تک خواب،پارکینگ غیرمزاحم(دلالی),4800000000,42,1390,1,0,یک,3
gaUBNSRa,apartment-sell,2026-07-20 15:07:56,tehran,راهکاری جدید برای سرمایه گذاران(۵۵مترسلسبیل شمالی),4900000000,55,1398,1,1,یک,4
gaUpYVJ5,apartment-sell,2026-07-20 18:17:57,tehran,کارون، ۵۶ متر، تک خواب، فول,12000000000,56,1396,1,1,یک,4
gaUpZGS1,apartment-sell,2026-07-20 15:02:40,tehran,55متر/تک واحدی/آسانسور دار/جیحون,8170000000,55,1392,0,1,یک,3
gaUZu9wh,apartment-sell,2026-07-20 18:54:46,tehran,آپارتمان آذربایجان۴۵متری تکواحدی،پاسیو نزدیک مترو,5450000000,45,1379,0,0,یک,-1
gavgZH8m,apartment-sell,2026-07-20 18:35:54,tehran,۳۰متر ۱خواب/طوس شرقی/ پارکینگ دار/طبقه۳ روییت,5850000000,30,1382,1,0,یک,3
gaVhdOdJ,apartment-sell,2026-07-20 16:04:18,tehran,کلهر رودکی آپارتمان 64 متری دو خواب فول امکانات,11800000000,64,1389,1,1,دو,1
gaWdlDni,apartment-sell,2026-07-20 16:14:25,tehran,۹۵ متری/ فول / تک واحدی / کلید نخورده,17000000000,95,1405,1,1,دو,2
gaWRGtqC,apartment-sell,2026-07-20 21:17:12,tehran,آپارتمان / پارکینگ / تکواحدی / غرق نور / سازه خوب,15200000000,85,1405,1,1,دو,3
gawsCRDi,apartment-sell,2026-07-20 15:31:02,tehran,سود تضمینی ۵۰۰ میلیونی در ماه,4500000000,47,1400,1,1,یک,5
gaXJ0To6,apartment-sell,2026-07-20 15:37:49,tehran,80متر دوخواب فول امکانات خوش آذربایجان,14200000000,80,1385,1,1,دو,1
gaXtSBZa,apartment-sell,2026-07-20 19:10:55,tehran,۱۰۵متر/نوساز/فول امکانات/بدون پرتی/ مرتضوی,18250000000,105,1403,1,1,دو,3
gaY5JGxx,apartment-sell,2026-07-20 17:21:32,tehran,۹۵ متر * تکواحدی * غرق نور * فول امکانات,16500000000,95,1405,1,1,دو,2
gaYp6vXc,apartment-sell,2026-07-20 16:46:26,tehran,۵۶متر یک خواب با اسانسور تک واحدی,9200000000,56,1394,0,1,یک,3
gaYRozM5,apartment-sell,2026-07-20 15:52:55,tehran,بوستان سعدی بین کارون و قصرالدشت42متر کلید نخورده,10900000000,42,1405,0,1,یک,2
gaZpb_NQ,apartment-sell,2026-07-20 15:52:06,tehran,تک واحدی بوستان سعدی,6900000000,62,1387,0,0,دو,-1
QanLbnZd,apartment-sell,2026-07-20 15:06:35,tehran,56متراستادمعین/فرصت ویژه سرمایه گذاری,4550000000,56,1402,1,1,یک,3
